lab_id,product,target_url,port,candidate_exploit_family,rank,rank_score,is_top1,is_recommended,family_risk_prior,evidence_source_count,has_zap_evidence,has_nuclei_evidence,has_wapiti_evidence,has_nikto_evidence,zap_finding_count,nuclei_finding_count,nikto_finding_count,wapiti_finding_count,observed_title_count,observed_tech_count,service_product_count,service_version_count,observed_titles_text,observed_tech_text,service_products_text,service_versions_text,evidence_sources_text,label_source,label_warning
dvwa,Damn Vulnerable Web Application,http://127.0.0.1:25002,25002,file-inclusion,5,0.565,0,0,0.74,1,0,0,0,0,20,0,0,0,1,3,1,1,Login :: Damn Vulnerable Web Application (DVWA) v1.10 *Development*,Apache HTTP Server:2.4.25 | Debian | PHP,Apache httpd,2.4.25,lab-catalog-prior,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
dvwa,Damn Vulnerable Web Application,http://127.0.0.1:25002,25002,auth-bypass,6,0.42,0,0,0.7,1,1,0,0,0,20,0,0,0,1,3,1,1,Login :: Damn Vulnerable Web Application (DVWA) v1.10 *Development*,Apache HTTP Server:2.4.25 | Debian | PHP,Apache httpd,2.4.25,zap,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
dvwa,Damn Vulnerable Web Application,http://127.0.0.1:25002,25002,csrf,7,0.395,0,0,0.35,1,0,0,0,0,20,0,0,0,1,3,1,1,Login :: Damn Vulnerable Web Application (DVWA) v1.10 *Development*,Apache HTTP Server:2.4.25 | Debian | PHP,Apache httpd,2.4.25,lab-catalog-prior,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
dvwa,Damn Vulnerable Web Application,http://127.0.0.1:25002,25002,bruteforce,8,0.35,0,0,0.3,1,0,0,0,0,20,0,0,0,1,3,1,1,Login :: Damn Vulnerable Web Application (DVWA) v1.10 *Development*,Apache HTTP Server:2.4.25 | Debian | PHP,Apache httpd,2.4.25,lab-catalog-prior,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
dvwa,Damn Vulnerable Web Application,http://127.0.0.1:25002,25002,generic-web,9,0.21,0,0,0.2,1,1,0,0,0,20,0,0,0,1,3,1,1,Login :: Damn Vulnerable Web Application (DVWA) v1.10 *Development*,Apache HTTP Server:2.4.25 | Debian | PHP,Apache httpd,2.4.25,zap,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
mutillidae-nowasp,OWASP Mutillidae / NOWASP,http://127.0.0.1:25004,25004,sqli,1,0.83,1,1,0.92,2,1,0,0,0,40,0,0,0,1,4,1,1,Database Offline,Apache HTTP Server:2.4.7 | PHP:5.5.9 | Ubuntu | bun,Apache httpd,2.4.7,lab-catalog-prior | zap,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
mutillidae-nowasp,OWASP Mutillidae / NOWASP,http://127.0.0.1:25004,25004,command-injection,2,0.78,0,1,0.95,2,1,0,0,0,40,0,0,0,1,4,1,1,Database Offline,Apache HTTP Server:2.4.7 | PHP:5.5.9 | Ubuntu | bun,Apache httpd,2.4.7,lab-catalog-prior | zap,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
mutillidae-nowasp,OWASP Mutillidae / NOWASP,http://127.0.0.1:25004,25004,xss,3,0.685,0,0,0.55,2,1,0,0,0,40,0,0,0,1,4,1,1,Database Offline,Apache HTTP Server:2.4.7 | PHP:5.5.9 | Ubuntu | bun,Apache httpd,2.4.7,lab-catalog-prior | zap,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
mutillidae-nowasp,OWASP Mutillidae / NOWASP,http://127.0.0.1:25004,25004,auth-bypass,4,0.62,0,0,0.7,2,1,0,0,0,40,0,0,0,1,4,1,1,Database Offline,Apache HTTP Server:2.4.7 | PHP:5.5.9 | Ubuntu | bun,Apache httpd,2.4.7,lab-catalog-prior | zap,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
mutillidae-nowasp,OWASP Mutillidae / NOWASP,http://127.0.0.1:25004,25004,file-inclusion,5,0.565,0,0,0.74,1,0,0,0,0,40,0,0,0,1,4,1,1,Database Offline,Apache HTTP Server:2.4.7 | PHP:5.5.9 | Ubuntu | bun,Apache httpd,2.4.7,lab-catalog-prior,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
mutillidae-nowasp,OWASP Mutillidae / NOWASP,http://127.0.0.1:25004,25004,csrf,6,0.395,0,0,0.35,1,0,0,0,0,40,0,0,0,1,4,1,1,Database Offline,Apache HTTP Server:2.4.7 | PHP:5.5.9 | Ubuntu | bun,Apache httpd,2.4.7,lab-catalog-prior,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
