lab_id,product,target_url,port,service_product,service_version,http_title,http_tech,has_nmap_evidence,has_httpx_evidence,has_nuclei_evidence,has_nikto_evidence,has_wapiti_evidence,has_zap_evidence,nuclei_finding_count,nikto_finding_count,wapiti_finding_count,zap_finding_count,zap_alerts,known_families,label_source,label_warning
acme-support,Acme Support Portal,http://127.0.0.1:27000/,27000,Werkzeug httpd,3.1.8,Dashboard | Acme Support Portal,Flask:3.1.8 | Python:3.12.13,1,1,0,1,1,1,0,7,4,12,"Absence of Anti-CSRF Tokens | Content Security Policy (CSP) Header Not Set | Cross-Origin-Embedder-Policy Header Missing or Invalid | Cross-Origin-Opener-Policy Header Missing or Invalid | Cross-Origin-Resource-Policy Header Missing or Invalid | Missing Anti-clickjacking Header | Permissions Policy Header Not Set | Server Leaks Version Information via ""Server"" HTTP Response Header Field | Storable and Cacheable Content | Storable but Non-Cacheable Content | User Controllable HTML Element Attribute (Potential XSS) | X-Content-Type-Options Header Missing",sqli | command-injection | file-inclusion | broken-access-control | xss,custom_lab_intended_vulnerability_family_plus_scanner_evidence,Intended lab labels and scanner evidence; still add exploit_success_observed for final training.
nova-devops,Nova DevOps Console,http://127.0.0.1:27100/,27100,Werkzeug httpd,3.1.8,Overview | Nova DevOps Console,Flask:3.1.8 | Python:3.12.13,1,1,0,1,1,1,0,7,4,12,"Absence of Anti-CSRF Tokens | Content Security Policy (CSP) Header Not Set | Cross-Origin-Embedder-Policy Header Missing or Invalid | Cross-Origin-Opener-Policy Header Missing or Invalid | Cross-Origin-Resource-Policy Header Missing or Invalid | Missing Anti-clickjacking Header | Permissions Policy Header Not Set | Server Leaks Version Information via ""Server"" HTTP Response Header Field | Storable and Cacheable Content | Storable but Non-Cacheable Content | User Controllable HTML Element Attribute (Potential XSS) | X-Content-Type-Options Header Missing",sqli | command-injection | file-inclusion | ssrf | broken-access-control,custom_lab_intended_vulnerability_family_plus_scanner_evidence,Intended lab labels and scanner evidence; still add exploit_success_observed for final training.
