target_id,candidate_family,positive_family,label,title_alias_score,server_alias_score,nmap_alias_score,body_alias_score,evidence_alias_score,port_score,protocol_score,http_tool_score,scan_depth_score,heuristic_score
apache_druid_CVE-2021-25646,jetty,druid,negative_family,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.15,0.1,3.8000000000000003
apache_druid_CVE-2021-25646,joomla,druid,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
apache_druid_CVE-2021-25646,nextjs,druid,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
apache_druid_CVE-2021-25646,nexus,druid,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
apache_druid_CVE-2021-25646,nginx,druid,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
apache_druid_CVE-2021-25646,phpmyadmin,druid,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
apache_druid_CVE-2021-25646,rails,druid,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
apache_druid_CVE-2021-25646,redis,druid,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apache_druid_CVE-2021-25646,shiro,druid,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
apache_druid_CVE-2021-25646,solr,druid,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
apache_druid_CVE-2021-25646,spring,druid,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
apache_druid_CVE-2021-25646,struts2,druid,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
apache_druid_CVE-2021-25646,thinkphp,druid,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
apache_druid_CVE-2021-25646,tomcat,druid,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
apache_druid_CVE-2021-25646,webmin,druid,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
appweb_CVE-2018-8715,adminer,appweb,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.08,1.08
appweb_CVE-2018-8715,appweb,appweb,positive_family_match,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.08,1.08
appweb_CVE-2018-8715,aria2,appweb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appweb_CVE-2018-8715,couchdb,appweb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.08,0.38
appweb_CVE-2018-8715,druid,appweb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.08,0.38
appweb_CVE-2018-8715,drupal,appweb,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.08,1.08
appweb_CVE-2018-8715,elasticsearch,appweb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.08,0.38
appweb_CVE-2018-8715,flask,appweb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.08,0.38
appweb_CVE-2018-8715,goahead,appweb,negative_family,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.25,0.15,0.08,2.2133333333333334
appweb_CVE-2018-8715,gogs,appweb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.08,0.38
appweb_CVE-2018-8715,grafana,appweb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.08,0.38
appweb_CVE-2018-8715,jenkins,appweb,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.08,1.08
appweb_CVE-2018-8715,jetty,appweb,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.08,1.08
appweb_CVE-2018-8715,joomla,appweb,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.08,1.08
appweb_CVE-2018-8715,nextjs,appweb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.08,0.38
appweb_CVE-2018-8715,nexus,appweb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.08,0.38
appweb_CVE-2018-8715,nginx,appweb,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.08,1.08
appweb_CVE-2018-8715,phpmyadmin,appweb,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.08,1.08
appweb_CVE-2018-8715,rails,appweb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.08,0.38
appweb_CVE-2018-8715,redis,appweb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appweb_CVE-2018-8715,shiro,appweb,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.08,1.08
appweb_CVE-2018-8715,solr,appweb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.08,0.38
appweb_CVE-2018-8715,spring,appweb,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.08,1.08
appweb_CVE-2018-8715,struts2,appweb,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.08,1.08
appweb_CVE-2018-8715,thinkphp,appweb,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.08,1.08
appweb_CVE-2018-8715,tomcat,appweb,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.08,1.08
appweb_CVE-2018-8715,webmin,appweb,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.08,0.38
