target_id,candidate_family,positive_family,label,title_alias_score,server_alias_score,nmap_alias_score,body_alias_score,evidence_alias_score,port_score,protocol_score,http_tool_score,scan_depth_score,heuristic_score
nginx_CVE-2017-7529,tomcat,nginx,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.33999999999999997,1.44
redis_CVE-2022-0543,aria2,redis,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6
redis_CVE-2022-0543,goahead,redis,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.12,0.27
redis_CVE-2022-0543,grafana,redis,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.12,0.27
redis_CVE-2022-0543,joomla,redis,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.12,0.27
redis_CVE-2022-0543,nginx,redis,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.12,0.27
redis_CVE-2022-0543,redis,redis,positive_family_match,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6.7
redis_CVE-2022-0543,shiro,redis,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.12,0.27
redis_CVE-2022-0543,tomcat,redis,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.12,0.27
shiro_CVE-2016-4437,aria2,shiro,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shiro_CVE-2016-4437,goahead,shiro,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.2,1.2
shiro_CVE-2016-4437,grafana,shiro,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.2,0.5
shiro_CVE-2016-4437,joomla,shiro,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.2,1.2
shiro_CVE-2016-4437,nginx,shiro,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.2,1.2
shiro_CVE-2016-4437,redis,shiro,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shiro_CVE-2016-4437,shiro,shiro,positive_family_match,0.0,0.0,0.0,1.0,1.0,1.0,0.25,0.15,0.2,4.600000000000001
shiro_CVE-2016-4437,tomcat,shiro,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.2,1.2
tomcat_CVE-2017-12615,aria2,tomcat,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomcat_CVE-2017-12615,goahead,tomcat,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.2,1.2
tomcat_CVE-2017-12615,grafana,tomcat,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.2,0.5
tomcat_CVE-2017-12615,joomla,tomcat,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.2,1.2
tomcat_CVE-2017-12615,nginx,tomcat,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.2,1.2
tomcat_CVE-2017-12615,redis,tomcat,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomcat_CVE-2017-12615,shiro,tomcat,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.2,1.2
tomcat_CVE-2017-12615,tomcat,tomcat,positive_family_match,0.5,0.0,0.0,0.5,0.5,1.0,0.25,0.15,0.2,4.15
